id,display_name_en,description_text_en,description_rights_author,description_rights_license,description_rights_source_name,description_rights_source_url,image_full_size_url,image_thumbnail_url,image_full_size_rel_path,image_thumbnail_rel_path,image_rights_author,image_rights_license,image_rights_source_name,image_rights_source_url,status,last modified,original file URL,AATID,EFTID
CC00177,pleated skirt,,,,,,https://dressdiscover.org/img/worksheet/full_size/429px-Pleated_skirt.jpg,https://dressdiscover.org/img/worksheet/thumbnail/429px-Pleated_skirt.jpg,full_size/429px-Pleated_skirt.jpg,thumbnail/429px-Pleated_skirt.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Pleated_skirt.jpg,uploaded,,,,
CC00095,pleating,"Double folding a definite, even width of fabric and fixing it in place by sewing or pressing or both.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=pleated&logic=AND&note=&english=N&prev_page=1&subjectid=300228556,https://dressdiscover.org/img/worksheet/full_size/Kilt_pleats_001.jpg,https://dressdiscover.org/img/worksheet/thumbnail/Kilt_pleats_001.jpg,full_size/Kilt_pleats_001.jpg,thumbnail/Kilt_pleats_001.jpg,Wikipedia User JFPerry~commonswiki,Creative Commons Attribution-Share Alike 2.5 Generic,Wikipedia,https://commons.wikimedia.org/wiki/File:Kilt_pleats_001.jpg,new,43472,https://upload.wikimedia.org/wikipedia/commons/3/3b/Kilt_pleats_001.jpg,300227874,
CC00162,pointed,"Having a form or outline delimited on at least one end by two intersecting lines, that is, tapering to or ending in a point or apex.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300078755,
CC00096,polishing,Process of rubbing a surface to make it smooth or shiny.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300053867,
CC00041,polo neck,,,,,,https://dressdiscover.org/img/worksheet/full_size/429px-Polo_shirt.jpg,https://dressdiscover.org/img/worksheet/thumbnail/429px-Polo_shirt.jpg,full_size/429px-Polo_shirt.jpg,thumbnail/429px-Polo_shirt.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Polo_shirt.jpg,uploaded,,,300209896,
CC00115,Polonaise,,,,,,,,,,,,,,incomplete,,,,
CC00233,polyester,Refers to polyester polymers used as fibers woven into fabrics. (AAT),The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=polyester&logic=AND&note=&english=N&prev_page=1&subjectid=300379829,,,,,,,,,incomplete,,,300379829,
CC00042,portrait collar,,,,,,,,,,,,,,incomplete,,,,
CC00178,prairie skirt,,,,,,,,,,,,,,incomplete,,,,
CC00097,printing,"Various means of reproducing identical copies of graphic matter in a fixed form. Processes by which an image, pictorial or textual, is transferred, usually to paper or cloth, most often by means of a plate, block, stone, or screen. Use also for the making of photographic prints and, with computers, for the production of a paper copy of stored data. For the production of prints in a fine arts context, prefer ""printmaking."" ",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300053319,
CC00137,puff,,,,,,,,,,,,,,incomplete,,,,
CC00043,Puritan collar,,,,,,,,,,,,,,incomplete,,,,
CC00066,purple,"Hue name for the colors intermediate between red and blue, originally the colors derived from a crimson mollusk dye. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,https://dressdiscover.org/img/worksheet/full_size/Color_icon_purple.jpg,https://dressdiscover.org/img/worksheet/thumbnail/Color_icon_purple.jpg,full_size/Color_icon_purple.jpg,thumbnail/Color_icon_purple.jpg,Wikimedia user Booyabazooka,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Color_icon_purple.png,new,43470,https://upload.wikimedia.org/wikipedia/commons/1/13/Color_icon_purple.png,300130257,
