Feature name,Feature value,Credit line,License,Thumbnail URL,Full-size image URL,Metadata URL
Structure Torso,front yoke,,,,,
Structure Torso,front yoke with gathers,,,,,
Structure Torso,gathered,,,,,
Structure Torso,no darts/seams,,,,,
Structure Torso,other darts,,,,,
Structure Torso,other pleats,,,,,
Structure Torso,other seams,,,,,
Structure Torso,princess seams,,,,,
Structure Torso,shoulder darts,,,,,
Structure Torso,shoulder pleats,,,,,
Structure Torso,side seams only,,,,,
Structure Torso,topless,,,,,
Structure Torso,trapeze,,,,,
Structure Torso,waist darts-front,,,,,
Structure Torso,waist pleats,,,,,
Structure Torso,waist-darts-back,,,,,
Structure Torso,wrap,,,,,
Structure Torso,yoke,,,,,
Structure Torso,yoke with gathers,,,,,
,,,,,,
Structure Waist,Empire / under bust,,,,,
Structure Waist,angled to side,,,,,
Structure Waist,asymmetrical,,,,,
Structure Waist,bare midriff,,,,,
Structure Waist,basque,,,,,
Structure Waist,bolero,,,,,
Structure Waist,curved,,,,,
Structure Waist,dropped,,,,,
Structure Waist,high,,,,,
Structure Waist,hip-level,,,,,
Structure Waist,natural,,,,,
Structure Waist,no waistline,,,,,
Structure Waist,pointed,,,,,
Structure Waist,straight,,,,,
Structure Waist,wrap,,,,,
,,,,,,
Structure Waist Shape,angled to side,,,,,
Structure Waist Shape,basque,,,,,
Structure Waist Shape,bolero,,,,,
Structure Waist Shape,curved,,,,,
Structure Waist Shape,no waistline,,,,,
Structure Waist Shape,pointed,,,,,
Structure Waist Shape,straight,,,,,
Structure Waist Shape,wrap,,,,,
,,,,,,
Technique,applique,,,,,
Technique,beading,,,,,
Technique,braiding,,,,,
Technique,burn-out,,,,,
Technique,crocheting,,,,,
Technique,drawloom,,,,,
Technique,embossing,,,,,
Technique,embroidery,,,,,
Technique,flocking,,,,,
Technique,glazing,,,,,
Technique,hand sewing,,,,,
Technique,hand weaving,,,,,
Technique,knitting,,,,,
Technique,lace making,,,,,
Technique,machine sewing,,,,,
Technique,mercerizing,,,,,
Technique,needlepoint,,,,,
Technique,painting,,,,,
Technique,piecing,,,,,
Technique,piping,,,,,
Technique,pleating,,,,,
Technique,polishing,,,,,
Technique,printing,,,,,
Technique,quilting,,,,,
Technique,ruffling,,,,,
Technique,smocking,,,,,
Technique,weaving,,,,,
